Date,Male,Female,Age0To19,Age20To29,Age30To39,Age40To49,Age50To59,Age60To69,Age70OrMore,TotalNewCases,Recovered,Deaths,TotalConfirmedCases,TotalRecovered,TotalDeaths,ActiveCases
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-03-23,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,2
2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2020-03-27,3,2,3,0,1,1,0,0,0,5,0,0,7,0,0,7
2020-03-28,2,0,1,1,0,0,0,0,0,2,0,0,9,0,0,9
2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9
2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9
2020-03-31,2,1,0,0,1,1,1,0,0,3,0,0,12,0,0,12
2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12
2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12
2020-04-03,0,0,0,0,0,0,0,0,0,0,6,0,12,6,0,6
2020-04-04,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,6
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,6
